x y u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
48 57 -0.605592 -0.212643 -0.766841 0.319574 -0.947497 0.010382 -0.728807 -0.238779 0.641745
168 146 0.424895 0.444097 -0.78882 0.282244 0.762966 0.581568 0.86012 -0.469749 0.198831
56 16 -0.156204 0.965155 0.209939 -0.982157 -0.129238 -0.136628 -0.104735 -0.227535 0.968121
154 80 0.433941 -0.508848 -0.743484 0.852053 -0.036369 0.522192 -0.29276 -0.860088 0.417779
57 62 0.469585 -0.617191 0.631322 0.873097 0.21843 -0.435878 0.131122 0.755886 0.641436
136 155 -0.124256 0.290055 -0.948909 0.986407 -0.06754 -0.149811 -0.10755 -0.954621 -0.277719
127 45 -0.057007 0.094258 0.993912 -0.607578 -0.793234 0.040372 0.792225 -0.601564 0.102486
9 89 0.590104 -0.783847 -0.193323 0.798071 0.60253 -0.006915 0.121904 -0.150195 0.981102
150 92 0.433433 -0.507309 -0.744831 0.852551 -0.037024 0.521331 -0.292055 -0.860968 0.416459
197 99 -0.901886 0.108737 -0.418067 0.301749 -0.533986 -0.789814 -0.309126 -0.838474 0.448777
178 158 0.377564 -0.544841 -0.748729 0.734696 -0.315902 0.600356 -0.563623 -0.776758 0.281023
175 38 0.007368 -0.409229 -0.912392 0.97463 -0.201216 0.098124 -0.223742 -0.889966 0.397366
40 139 -0.298546 -0.051623 -0.952988 -0.137669 -0.985771 0.096531 -0.944419 0.160005 0.287187
117 206 -0.413912 0.893033 -0.176552 -0.885237 -0.44008 -0.150626 -0.212211 0.093942 0.972695
9 136 0.954327 0.158434 0.253311 -0.25318 0.878985 0.404093 -0.158634 -0.449767 0.878939
33 43 0.513043 -0.833064 0.206857 -0.297003 0.05382 0.953357 -0.805344 -0.550551 -0.219814
201 77 -0.843198 -0.528085 0.100787 -0.088968 -0.047844 -0.99488 0.530223 -0.84783 -0.00665
184 74 0.842494 -0.529954 -0.09672 0.085502 -0.045723 0.995288 -0.53188 -0.846791 0.006791
107 90 0.415385 -0.194811 -0.888539 0.64422 -0.626617 0.438555 -0.64222 -0.75458 -0.134785
84 72 0.191639 0.314806 -0.929605 0.980143 -0.110544 0.16462 -0.050942 -0.942701 -0.329738
47 127 -0.89794 0.31051 -0.311924 0.255589 -0.209089 -0.943899 -0.358314 -0.927288 0.108388
